Zones,GenVar
NM_70,0.10595959249084251
NM_71,0.08614285714285716
NM_72,0.0914044184981685
NM_73,0.08420478479853481
NM_74,0.08937156593406595
NM_75,0.07932635073260073
NV_1,0.3688041437728938
NV_2,0.2661834935897437
NV_3,0.2548798076923076
NV_4,0.26731902472527463
NV_5,0.3330626144688646
NV_6,0.26549748168498166
NV_7,0.24563736263736277
NV_8,0.2441433150183151
NV_9,0.3044989697802198
NV_10,0.2264442536630036
NV_11,0.21584363553113556
NV_12,0.22170226648351646
NV_13,0.27828605769230763
NV_14,0.20485141941391938
NV_15,0.20704097985347975
NV_16,0.1953013965201465
NV_17,0.2648130723443224
NV_18,0.17819803113553115
NV_19,0.19171325549450544
NV_20,0.25791597985348
NV_21,0.18958608058608062
NV_22,0.1846654075091575
NV_23,0.2508818681318681
NV_24,0.1780093864468864
NV_25,0.17408802655677658
NV_26,0.23164297161172162
NV_27,0.17284935897435905
NV_28,0.17193360805860802
NV_29,0.22761286630036628
NV_30,0.1751334706959707
NV_31,0.16916117216117216
NV_32,0.211746108058608
NV_33,0.15265247252747255
NV_34,0.15744516941391948
NV_35,0.2124179258241758
NV_36,0.14591620879120876
NV_37,0.20708917124542123
NV_38,0.133884500915751
NV_39,0.13807692307692307
NV_40,0.13356707875457877
NV_41,0.1976073717948718
NV_42,0.13873912545787545
NV_43,0.18726110347985347
NV_44,0.157509271978022
NV_45,0.13796268315018315
NV_46,0.1855907738095238
NV_47,0.13054590201465205
NV_48,0.1293321886446887
NV_49,0.11875080128205136
NV_50,0.1753565705128205
NV_51,0.12385565476190481
NV_52,0.13445467032967032
NV_53,0.16888839285714285
NV_54,0.1264437957875458
NV_55,0.11527827380952378
NV_56,0.16474358974358977
NV_57,0.11131364468864469
NV_58,0.1612631639194139
NV_59,0.12009111721611719
NV_60,0.15503708791208795
NV_61,0.09677083333333336
NV_62,0.13080666208791208
NV_63,0.0959218177655678
NV_64,0.11621989468864467
NV_65,0.10382554945054946
NV_66,0.10607463369963373
NV_67,0.11431730769230769
NV_68,0.08919597069597067
NV_69,0.09090132783882786
NorCal_1,0.4514616529304028
NorCal_2,0.36889938186813187
NorCal_3,0.4155081272893773
NorCal_4,0.29525446428571434
NorCal_5,0.3381031364468864
NorCal_6,0.2944634844322344
NorCal_7,0.287565934065934
NorCal_8,0.3171365613553114
NorCal_9,0.2856808608058609
NorCal_10,0.2895438415750916
NorCal_11,0.2848677884615385
NorCal_12,0.29179601648351655
NorCal_13,0.22875377747252748
NorCal_14,0.2856208791208791
NorCal_15,0.27611343864468857
NorCal_16,0.24845009157509163
NorCal_17,0.30286847527472527
NorCal_18,0.23438530219780226
NorCal_19,0.2147485119047619
NorCal_20,0.22702083333333334
NorCal_21,0.22275446428571435
NorCal_22,0.24131810897435904
NorCal_23,0.1998570283882784
NorCal_24,0.21172687728937728
NorCal_25,0.21125801282051282
NorCal_26,0.18529681776556775
NorCal_27,0.19931009615384612
NorCal_28,0.21649473443223435
NorCal_29,0.20613999542124542
NorCal_30,0.18735119047619048
NorCal_31,0.19994333791208793
NorCal_32,0.20852438186813194
NorCal_33,0.2023367673992674
NorCal_34,0.1993695054945055
NorCal_35,0.21142777014652014
NorCal_36,0.17483653846153843
NorCal_37,0.18515167124542123
NorCal_38,0.1891015338827839
NorCal_39,0.18821428571428567
NorCal_40,0.17934546703296705
NorCal_41,0.18425766941391944
NorCal_42,0.18153766025641027
NorCal_43,0.16143360805860812
NorCal_44,0.15543646978021974
NorCal_45,0.18063633241758245
NorCal_46,0.16224507783882786
NorCal_47,0.17340098443223442
NorCal_48,0.1732226419413919
NorCal_49,0.17888472985347986
NorCal_50,0.16633092948717945
NorCal_51,0.14700274725274726
NorCal_52,0.14788335622710622
NorCal_53,0.15429761904761907
NorCal_54,0.1508280677655677
NorCal_55,0.15472756410256408
NorCal_56,0.14250778388278393
NorCal_57,0.15635554029304036
NorCal_58,0.1490188873626374
NorCal_59,0.1528206272893774
NorCal_60,0.16487568681318682
NorCal_61,0.12578663003663004
NorCal_62,0.1496924221611722
NorCal_63,0.1423545100732601
NorCal_64,0.14960565476190477
NorCal_65,0.14452174908424914
NorCal_66,0.14342799908424908
NorCal_67,0.14264537545787548
NorCal_68,0.132953869047619
NorCal_69,0.13498191391941392
NorCal_70,0.12744288003662999
NorCal_71,0.1372622481684982
NorCal_72,0.11943452380952385
NorCal_73,0.13966449175824178
NorCal_74,0.12359443681318684
NorCal_75,0.13342570970695972
NorCal_76,0.12360748626373627
NorCal_77,0.1330029761904762
NorCal_78,0.11233424908424908
NorCal_79,0.1092342032967033
NorCal_80,0.11552552655677656
NorCal_81,0.12334294871794876
NorCal_82,0.11711755952380955
NorCal_83,0.12391346153846157
NorCal_84,0.11900698260073263
NorCal_85,0.12648992673992676
NorCal_86,0.10474622252747254
NorCal_87,0.11547641941391942
NorCal_88,0.1184162087912087
NorCal_89,0.10204761904761905
NorCal_90,0.1144569597069597
NorCal_91,0.10167067307692307
NorCal_92,0.11994047619047624
NorCal_93,0.09774198717948718
NorCal_94,0.10366746794871795
NorCal_95,0.11622481684981685
NorCal_96,0.10366494963369961
NorCal_97,0.10294974816849818
NorCal_98,0.1064073946886447
NorCal_99,0.10074656593406592
NorCal_100,0.105621336996337
NorCal_101,0.10629864926739926
NorCal_102,0.10796852106227106
NorCal_103,0.09576156135531137
NorCal_104,0.09353514194139197
NorCal_105,0.0942912087912088
NorCal_106,0.10065304487179486
NorCal_107,0.07725995879120878
NorCal_108,0.09374210164835164
NorCal_109,0.07788541666666665
NorCal_110,0.06971153846153848
NorCal_111,0.0892635073260073
NorCal_112,0.09470673076923077
NorCal_113,0.07457680860805864
NorCal_114,0.08953193681318682
NorCal_115,0.08226797161172161
NorCal_116,0.06563907967032968
NorCal_117,0.07720524267399265
NorCal_118,0.0737672847985348
NorCal_119,0.09131456043956046
NorCal_120,0.06380883699633699
NorCal_121,0.07030643315018315
NorCal_122,0.08013026556776556
NorCal_123,0.07327667124542125
NorCal_124,0.07058276098901096
NorCal_125,0.06984569597069601
NorCal_126,0.07648775183150185
NorCal_127,0.061681204212454196
NorCal_128,0.059806891025641
NorCal_129,0.06070890567765568
NorCal_130,0.08899793956043954
NorCal_131,0.06269722985347986
NorCal_132,0.0730931776556777
NorCal_133,0.07362156593406595
NorCal_134,0.06085347985347984
NorCal_135,0.05456501831501832
NorCal_136,0.05892708333333334
NorCal_137,0.0650143086080586
NorCal_138,0.053507783882783884
NorCal_139,0.05554132326007325
NorCal_140,0.0752955586080586
NorCal_141,0.050523466117216115
NorCal_142,0.06673294413919413
NorCal_143,0.048848099816849795
NorCal_144,0.0518176510989011
NorCal_145,0.07616666666666666
